"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" ","Kilcullen, Kildare Division",6
" ","Kildare, Kildare Division",21
" ","Kildorrery, Cork North Division",2
" ","Kildysart, Clare Division",0
" ","Kilkee, Clare Division",6
" ","Kilkelly, Mayo Division",2
" ","Kilkenny, Kilkenny/Carlow Division",132
" ","Kill, Co Waterford, Waterford Division",2
" ","Killala, Mayo Division",5
" ","Killaloe, Clare Division",4
" ","Killarney, Kerry Division",63
" ","Killeagh, Cork North Division",2
" ","Killenaule, Tipperary Division",5
" ","Killeshandra, Cavan/Monaghan Division",2
" ","Killimor, Galway Division",1
" ","Killorglin, Kerry Division",10
" ","Killucan, Westmeath Division",1
" ","Kilmacow, Kilkenny/Carlow Division",3
" ","Kilmacrennan, Donegal Division",4
" ","Kilmacthomas, Waterford Division",1
" ","Kilmaine, Mayo Division",2
" ","Kilmainham, D.M.R. South Central Division",88
" ","Kilmallock, Limerick Division",13
" ","Kilmeaden, Waterford Division",1
" ","Kilmoganny, Kilkenny/Carlow Division",0
" ","Kilmore Quay, Wexford Division",10
" ","Kilnaleck, Cavan/Monaghan Division",6
" ","Kilrickle, Galway Division",1
" ","Kilrush, Clare Division",17
" ","Kilsheelan, Tipperary Division",0
" ","Kiltimagh, Mayo Division",9
" ","Kiltormer, Galway Division",1
" ","Kilworth, Cork North Division",0
" ","Kingscourt, Cavan/Monaghan Division",7
" ","Kinlough, Sligo/Leitrim Division",5
" ","Kinnegad, Westmeath Division",10
" ","Kinnitty, Laois/Offaly Division",1
" ","Kinsale, Cork West Division",26
" ","Kinvara, Galway Division",1
" ","Knock, Mayo Division",1
" ","Knocknagoshel, Kerry Division",4
" ","Lanesboro, Roscommon/Longford Division",10
" ","Laytown, Meath Division",23
" ","Leach Seoirse, Galway Division",10
" ","Leamybrien, Waterford Division",5
" ","Leitir Mor, Galway Division",1
" ","Leixlip, Kildare Division",18
" ","Letterfrack, Galway Division",7
